exp1_name,exp2_name,k,final_MkNN
mlp_5_256_muon,mlp_5_256_adam,1,0.006000000052154064
mlp_5_256_muon,mlp_5_256_adam,2,0.01600000075995922
mlp_5_256_muon,mlp_5_256_adam,3,0.019999999552965164
mlp_5_256_muon,mlp_5_256_adam,4,0.028750000521540642
mlp_5_256_muon,mlp_5_256_adam,5,0.035999998450279236
mlp_5_256_muon,mlp_5_256_adam,6,0.042666662484407425
mlp_5_256_muon,mlp_5_256_adam,7,0.04757143557071686
mlp_5_256_muon,mlp_5_256_adam,8,0.05249999836087227
mlp_5_256_muon,mlp_5_256_adam,9,0.0573333315551281
mlp_5_256_muon,mlp_5_256_adam,10,0.06150000914931297
mlp_5_256_muon,mlp_5_256_adam,11,0.06781819462776184
mlp_5_256_muon,mlp_5_256_adam,12,0.07208333164453506
mlp_5_256_muon,mlp_5_256_adam,13,0.0756923109292984
mlp_5_256_muon,mlp_5_256_adam,14,0.07999999821186066
mlp_5_256_muon,mlp_5_256_adam,15,0.08393333852291107
mlp_5_256_muon,mlp_5_256_adam,16,0.08756250143051147
mlp_5_256_muon,mlp_5_256_adam,17,0.09123530238866806
mlp_5_256_muon,mlp_5_256_adam,18,0.0950000062584877
mlp_5_256_muon,mlp_5_256_adam,19,0.09815789759159088
mlp_5_256_muon,mlp_5_256_adam,20,0.10254999250173569
mlp_5_256_muon,mlp_5_256_adam,21,0.10514287650585175
mlp_5_256_muon,mlp_5_256_adam,22,0.10790909081697464
mlp_5_256_muon,mlp_5_256_adam,23,0.11160869151353836
mlp_5_256_muon,mlp_5_256_adam,24,0.11479166895151138
mlp_5_256_muon,mlp_5_256_adam,25,0.11771998554468155
mlp_5_256_muon,mlp_5_256_adam,26,0.12103847414255142
mlp_5_256_muon,mlp_5_256_adam,27,0.12466665357351303
mlp_5_256_muon,mlp_5_256_adam,28,0.12857143580913544
mlp_5_256_muon,mlp_5_256_adam,29,0.13168965280056
mlp_5_256_muon,mlp_5_256_adam,30,0.1353333294391632
mlp_5_256_muon,mlp_5_256_adam,31,0.13838708400726318
mlp_5_256_muon,mlp_5_256_adam,32,0.1419687569141388
mlp_5_256_muon,mlp_5_256_adam,33,0.1446666568517685
mlp_5_256_muon,mlp_5_256_adam,34,0.1474705934524536
mlp_5_256_muon,mlp_5_256_adam,35,0.15062858164310455
mlp_5_256_muon,mlp_5_256_adam,36,0.15380555391311646
mlp_5_256_muon,mlp_5_256_adam,37,0.15608109533786774
mlp_5_256_muon,mlp_5_256_adam,38,0.1592368334531784
mlp_5_256_muon,mlp_5_256_adam,39,0.16156411170959473
mlp_5_256_muon,mlp_5_256_adam,40,0.16440001130104065
mlp_5_256_muon,mlp_5_256_adam,41,0.1674146056175232
mlp_5_256_muon,mlp_5_256_adam,42,0.16961905360221863
mlp_5_256_muon,mlp_5_256_adam,43,0.17288373410701752
mlp_5_256_muon,mlp_5_256_adam,44,0.17522726953029633
mlp_5_256_muon,mlp_5_256_adam,45,0.17828889191150665
mlp_5_256_muon,mlp_5_256_adam,46,0.18152174353599548
mlp_5_256_muon,mlp_5_256_adam,47,0.183914914727211
mlp_5_256_muon,mlp_5_256_adam,48,0.18674999475479126
mlp_5_256_muon,mlp_5_256_adam,49,0.18846938014030457
mlp_5_256_muon,mlp_5_256_adam,50,0.1909399926662445
mlp_5_256_muon,mlp_5_256_adam,51,0.1935686320066452
mlp_5_256_muon,mlp_5_256_adam,52,0.19609615206718445
mlp_5_256_muon,mlp_5_256_adam,53,0.19883020222187042
mlp_5_256_muon,mlp_5_256_adam,54,0.20112963020801544
mlp_5_256_muon,mlp_5_256_adam,55,0.20312726497650146
mlp_5_256_muon,mlp_5_256_adam,56,0.20508930087089539
mlp_5_256_muon,mlp_5_256_adam,57,0.2071578949689865
mlp_5_256_muon,mlp_5_256_adam,58,0.20936207473278046
mlp_5_256_muon,mlp_5_256_adam,59,0.21142373979091644
mlp_5_256_muon,mlp_5_256_adam,60,0.21346665918827057
mlp_5_256_muon,mlp_5_256_adam,61,0.21555736660957336
mlp_5_256_muon,mlp_5_256_adam,62,0.2178548127412796
mlp_5_256_muon,mlp_5_256_adam,63,0.2202381044626236
mlp_5_256_muon,mlp_5_256_adam,64,0.2221093773841858
mlp_5_256_muon,mlp_5_256_adam,65,0.22413845360279083
mlp_5_256_muon,mlp_5_256_adam,66,0.2263939380645752
mlp_5_256_muon,mlp_5_256_adam,67,0.22865670919418335
mlp_5_256_muon,mlp_5_256_adam,68,0.23038233816623688
mlp_5_256_muon,mlp_5_256_adam,69,0.23223185539245605
mlp_5_256_muon,mlp_5_256_adam,70,0.23408570885658264
mlp_5_256_muon,mlp_5_256_adam,71,0.23602816462516785
mlp_5_256_muon,mlp_5_256_adam,72,0.23759721219539642
mlp_5_256_muon,mlp_5_256_adam,73,0.2389589101076126
mlp_5_256_muon,mlp_5_256_adam,74,0.24086487293243408
mlp_5_256_muon,mlp_5_256_adam,75,0.24253331124782562
mlp_5_256_muon,mlp_5_256_adam,76,0.24436841905117035
mlp_5_256_muon,mlp_5_256_adam,77,0.24564935266971588
mlp_5_256_muon,mlp_5_256_adam,78,0.2467564195394516
mlp_5_256_muon,mlp_5_256_adam,79,0.24848102033138275
mlp_5_256_muon,mlp_5_256_adam,80,0.24981249868869781
mlp_5_256_muon,mlp_5_256_adam,81,0.251370370388031
mlp_5_256_muon,mlp_5_256_adam,82,0.25230488181114197
mlp_5_256_muon,mlp_5_256_adam,83,0.2541084587574005
mlp_5_256_muon,mlp_5_256_adam,84,0.2552500069141388
mlp_5_256_muon,mlp_5_256_adam,85,0.2566470503807068
mlp_5_256_muon,mlp_5_256_adam,86,0.257906973361969
mlp_5_256_muon,mlp_5_256_adam,87,0.2592758536338806
mlp_5_256_muon,mlp_5_256_adam,88,0.26069316267967224
mlp_5_256_muon,mlp_5_256_adam,89,0.2620561718940735
mlp_5_256_muon,mlp_5_256_adam,90,0.26311108469963074
mlp_5_256_muon,mlp_5_256_adam,91,0.2646483778953552
mlp_5_256_muon,mlp_5_256_adam,92,0.2659347653388977
mlp_5_256_muon,mlp_5_256_adam,93,0.2674946188926697
mlp_5_256_muon,mlp_5_256_adam,94,0.2686915099620819
mlp_5_256_muon,mlp_5_256_adam,95,0.26988422870635986
mlp_5_256_muon,mlp_5_256_adam,96,0.2709791958332062
mlp_5_256_muon,mlp_5_256_adam,97,0.2723298668861389
mlp_5_256_muon,mlp_5_256_adam,98,0.2735816240310669
mlp_5_256_muon,mlp_5_256_adam,99,0.2749292850494385
